id	x
1	-0.174
2	-0.322
3	-0.281
4	-0.033
5	-1.647
6	-0.553
7	-1.102
8	-0.427
9	1.024
10	-1.034
11	-0.66
12	0.629
13	-0.702
14	-2.356
15	1.279
16	0.338
17	0.405
18	-1.052
19	-0.087
20	-0.245
21	-0.324
22	-1.527
23	-0.065
24	-0.888
25	-0.008
26	-0.365
27	0.052
28	-1.599
29	-1.151
30	-1.077
31	0.198
32	0.491
33	0.973
34	-0.987
35	-1.026
36	-0.028
37	0.743
38	-0.34
39	1.014
40	1.812
41	1.168
42	0.928
43	0.525
44	1.207
45	0.732
46	-0.131
47	-0.355
48	0.442
49	-0.22
50	-0.695
51	0.142
52	-0.081
53	0.178
54	-1.042
55	-0.679
56	0.748
57	0.035
58	0.984
59	1.264
60	-2.048
61	-0.704
62	0.771
63	1.267
64	1.566
65	-0.529
66	-0.683
67	-1.279
68	-0.99
69	1.028
70	-2.185
71	0.392
72	0.465
73	1.446
74	-1.686
75	-0.898
76	-1.41
77	1.514
78	0.289
79	2.266
80	1.67
81	-1.52
82	0.471
83	0.373
84	-0.615
85	-0.202
86	-1.609
87	-0.181
88	-1.84
89	-1.329
90	0.962
91	0.504
92	-1.155
93	-0.946
94	1.127
95	-0.376
96	-1.058
97	0.537
98	-0.794
99	0.887
100	-0.729
